WKT;GID;ID_HOJA;TIPO;ESTADO
"POLYGON ((444406.86 4104547.58,444398.01 4104546.28,444395.85 4104561.06,444404.69 4104562.36,444406.86 4104547.58))";"814661";"102632";EDI;USO
"POLYGON ((444496.36 4104823.97,444494.68 4104842.93,444504.44 4104843.8,444506.12 4104824.83,444496.36 4104823.97))";"814662";"102632";EDI;USO
"POLYGON ((444509.33 4104810.34,444509.34 4104801.43,444504.84 4104801.42,444504.83 4104810.33,444509.33 4104810.34))";"814663";"102632";EDI;USO
"POLYGON ((444521.91 4104538.72,444521.68 4104522.65,444512.73 4104522.78,444512.96 4104538.85,444521.91 4104538.72))";"814664";"102632";EDI;USO
"POLYGON ((444200.11 4104678.42,444188.82 4104673.57,444185.48 4104681.34,444196.77 4104686.19,444200.11 4104678.42))";"814665";"102632";EDI;USO
"POLYGON ((444187.25 4104648.38,444193.22 4104636.4,444186.46 4104633.03,444180.49 4104645.01,444187.25 4104648.38))";"814666";"102632";EDI;USO
"POLYGON ((444191.29 4104627.92,444198.36 4104631.2,444202.54 4104633.13,444203.48 4104631.1,444206.12 4104625.4,444208.76 4104619.7,444204.13 4104617.55,444202.41 4104616.76,444199.16 4104623.8,444194.25 4104621.52,444191.29 4104627.92))";"814667";"102632";EDI;USO
"POLYGON ((444228.86 4104533.83,444234.88 4104536.54,444240.9 4104539.25,444244.58 4104531.09,444246.9 4104525.94,444240.88 4104523.23,444234.86 4104520.52,444233.11 4104524.39,444230.99 4104529.11,444228.86 4104533.83))";"814668";"102632";EDI;USO
"POLYGON ((444216.25 4104625.96,444212.98 4104632.65,444222.2 4104637.16,444225.47 4104630.47,444216.25 4104625.96))";"814669";"102632";EDI;USO
"POLYGON ((444251.69 4104638.53,444263.48 4104643.37,444266.55 4104635.91,444254.76 4104631.06,444251.69 4104638.53))";"814670";"102632";EDI;USO
"POLYGON ((444262.35 4104674.26,444258.25 4104684.28,444265.48 4104687.24,444269.58 4104677.21,444262.35 4104674.26))";"814671";"102632";EDI;USO
"POLYGON ((444275.6 4104613.75,444264.58 4104609.39,444261.89 4104616.18,444272.91 4104620.54,444275.6 4104613.75))";"814672";"102632";EDI;USO
"POLYGON ((444283.64 4104591.76,444272.13 4104587.27,444269.04 4104595.19,444280.55 4104599.68,444283.64 4104591.76))";"814673";"102632";EDI;USO
"POLYGON ((444866.17 4106882.9,444872.48 4106885.83,444879.99 4106869.7,444873.68 4106866.76,444866.17 4106882.9))";"814674";"102632";EDI;USO
"POLYGON ((442314.64 4104644.87,442318.34 4104644.87,442318.34 4104636.23,442314.64 4104636.22,442314.64 4104638.79,442314.64 4104644.87))";"814675";"102632";EDI;USO
"POLYGON ((442265.67 4104490.27,442261.47 4104491.25,442263.0 4104497.67,442264.54 4104504.08,442268.74 4104503.08,442267.28 4104496.98,442265.67 4104490.27))";"814676";"102632";EDI;USO
"POLYGON ((442441.27 4104990.52,442435.55 4104994.87,442440.39 4105001.24,442446.11 4104996.89,442441.27 4104990.52))";"814677";"102632";EDI;USO
"POLYGON ((440020.16 4107791.47,440011.37 4107786.27,440007.5 4107792.83,440016.28 4107798.03,440020.16 4107791.47))";"814678";"102632";EDI;USO
"POLYGON ((442088.51 4106089.67,442104.51 4106090.65,442104.88 4106084.62,442088.88 4106083.64,442088.51 4106089.67))";"814681";"102632";EDI;USO
"POLYGON ((442072.29 4106020.42,442071.5 4106034.59,442078.69 4106034.99,442079.48 4106020.82,442072.29 4106020.42))";"814682";"102632";EDI;USO
"POLYGON ((442645.33 4106716.68,442653.22 4106730.47,442707.66 4106699.57,442713.32 4106696.42,442709.48 4106688.54,442653.52 4106719.86,442650.46 4106714.14,442645.33 4106716.68))";"814685";"102632";EDI;USO
"POLYGON ((444297.03 4104679.96,444292.89 4104691.94,444305.49 4104696.28,444309.62 4104684.31,444297.03 4104679.96))";"814698";"102632";EDI;USO
"POLYGON ((444307.43 4104757.82,444296.53 4104751.61,444292.61 4104758.49,444303.51 4104764.7,444307.43 4104757.82))";"814699";"102632";EDI;USO
"POLYGON ((444405.52 4104343.61,444401.19 4104336.7,444388.43 4104344.68,444392.76 4104351.6,444405.52 4104343.61))";"814701";"102632";EDI;USO
"POLYGON ((444341.25 4104659.36,444352.75 4104661.92,444355.58 4104649.17,444344.09 4104646.62,444341.25 4104659.36))";"814702";"102632";EDI;USO
"POLYGON ((444431.91 4104532.87,444431.56 4104538.44,444431.21 4104544.01,444430.85 4104549.69,444436.38 4104550.04,444443.19 4104550.47,444447.53 4104550.74,444447.88 4104545.06,444443.55 4104544.79,444436.74 4104544.36,444437.09 4104538.79,444437.44 4104533.22,444431.91 4104532.87))";"814703";"102632";EDI;USO
"POLYGON ((444421.56 4104885.18,444421.16 4104874.84,444412.73 4104875.17,444413.13 4104885.51,444421.56 4104885.18))";"814704";"102632";EDI;USO
"POLYGON ((444273.33 4104897.8,444263.29 4104897.39,444262.92 4104906.46,444272.96 4104906.87,444273.33 4104897.8))";"814705";"102632";EDI;USO
"POLYGON ((444266.75 4104928.14,444266.53 4104936.85,444276.88 4104937.12,444277.11 4104928.41,444266.75 4104928.14))";"814706";"102632";EDI;USO
"POLYGON ((444286.28 4104937.42,444296.14 4104937.7,444296.38 4104929.15,444286.52 4104928.87,444286.28 4104937.42))";"814707";"102632";EDI;USO
"POLYGON ((444172.57 4104744.04,444150.61 4104743.64,444150.37 4104756.86,444172.34 4104757.25,444172.57 4104744.04))";"814708";"102632";EDI;USO
"POLYGON ((444116.29 4104668.47,444124.84 4104658.81,444117.45 4104652.26,444108.89 4104661.92,444116.29 4104668.47))";"814709";"102632";EDI;USO
"POLYGON ((444137.81 4104367.8,444126.55 4104361.78,444122.85 4104368.69,444134.11 4104374.71,444137.81 4104367.8))";"814710";"102632";EDI;USO
"POLYGON ((444107.15 4104392.51,444098.94 4104406.26,444103.21 4104408.81,444111.42 4104395.06,444107.15 4104392.51))";"814711";"102632";EDI;USO
"POLYGON ((444171.91 4104407.02,444179.44 4104414.52,444184.97 4104408.95,444177.44 4104401.46,444171.91 4104407.02))";"814712";"102632";EDI;USO
"POLYGON ((444192.05 4104353.74,444199.83 4104342.51,444194.76 4104338.99,444186.98 4104350.22,444192.05 4104353.74))";"814713";"102632";EDI;USO
"POLYGON ((439255.28 4105906.95,439264.15 4105909.22,439265.3 4105904.74,439256.43 4105902.46,439255.28 4105906.95))";"814714";"102632";EDI;USO
"POLYGON ((439295.48 4105917.89,439305.35 4105895.26,439300.51 4105893.15,439290.64 4105915.78,439295.48 4105917.89))";"814715";"102632";EDI;USO
"POLYGON ((441876.7 4105973.24,441871.57 4105973.01,441870.83 4105989.44,441875.96 4105989.67,441876.7 4105973.24))";"814798";"102632";EDI;USO
"POLYGON ((444566.73 4107378.27,444562.43 4107383.47,444566.87 4107387.15,444571.17 4107381.96,444566.73 4107378.27))";"814837";"102632";EDI;USO
"POLYGON ((444782.66 4107325.35,444786.81 4107328.19,444790.96 4107331.02,444794.48 4107325.87,444798.0 4107320.72,444793.85 4107317.88,444789.7 4107315.04,444786.18 4107320.2,444782.66 4107325.35))";"814838";"102632";EDI;USO
"POLYGON ((443583.99 4107794.41,443596.54 4107812.58,443609.09 4107830.75,443609.61 4107829.04,443612.28 4107807.57,443612.92 4107802.38,443610.02 4107788.67,443607.11 4107774.96,443606.35 4107775.28,443602.81 4107778.26,443606.2 4107796.76,443595.93 4107800.5,443589.67 4107790.33,443586.73 4107792.44,443583.99 4107794.41))";"814843";"102632";EDI;USO
